;;;;;;;;;;;640;;;;;;;;0;;;;;
;;;;;;;;;;;640;;;;;;;;0;;;;;
;;;;;;;;;;; 71.012,91 ;;;;;;;;0;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;H?ng m?c;D3  ??n ngày 7/10/2025;;;;;;;;;D4 ( kh?i D4 ch?a ký h?p ??ng nhà th?u);;;;;;;;;T?NG C?NG D3 VÀ D4 (D3+D4);;;;
;;Giá tr? h?p ??ng ;Giá tr? ?ã th?c hi?n ;T?m ?ng theo H?;???c quy?n thanh toán;?ã thanh toán ;Công n? còn l?i ???c quy?n thanh toán;giá tr? gi? l?i còn ph?i tr?;"T?ng Giá tr?  HD còn l?i
ch?a th?c hi?n D3";t?ng giá tr? c?n ph?i thanh toán;Giá tr? h?p ??ng D4 ;Giá tr? ?ã th?c hi?n ;T?m ?ng theo H?;???c quy?n thanh toán;?ã thanh toán ;Công n? còn l?i ???c quy?n thanh toán;giá tr? gi? l?i còn l?i  ph?i tr?;"T?ng Giá tr?  HD còn l?i
ch?a th?c hi?n D4"; t?ng giá tr? c?n ph?i thanh toán ;Giá tr? còn l?i ???c quy?n ph?i thanh toán D3 và D4;Giá tr? gi? l?i còn ph?i thanh toán;Giá tr? h?p ??ng còn ph?i th?c hi?n;Dòng ti?n còn ph?i th?c hi?n;
4;Tháp B -SMC; 343.295.371.219 ; 258.136.747.810 ; -   ; 245.229.910.418 ; 225.940.194.893 ; 19.289.715.525 ; 12.906.837.392 ; 85.158.623.409 ; 117.355.176.326 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 19.289.715.525 ; 12.906.837.392 ; 85.158.623.409 ; 117.355.176.326 ;
; + theo H?; 322.385.645.235 ; 237.227.021.826 ; -   ; 227.456.643.332 ; 208.166.927.807 ; 19.289.715.525 ; 9.770.378.494 ; 85.158.623.409 ; 114.218.717.428 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 19.289.715.525 ; 9.770.378.494 ; 85.158.623.409 ; 114.218.717.428 ;
; + Phát sinh; 20.909.725.984 ; 20.909.725.984 ; -   ; 17.773.267.086 ; 17.773.267.086 ; 0 ; 3.136.458.898 ; (0); 3.136.458.898 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0 ; 3.136.458.898 ; (0); 3.136.458.898 ;
B;Th?u ph? xây d?ng Hoàn thi?n ( ?ã ký D3, D4 t?m tính) ; 127.808.780.165 ; 10.502.982.673 ; 5.446.291.243 ; 10.502.982.673 ; 3.682.864.055 ; 6.820.118.618 ; -   ; 117.305.797.492 ; 118.679.624.867 ; 58.221.538.281 ; -   ; 1.353.708.757 ; -   ; -   ; -   ; -   ; 58.221.538.281 ; 56.867.829.524 ; 6.820.118.618 ; -   ; 175.527.335.774 ; 175.547.454.391 ;
1;Thi công  Sàn g?,  t? b?p, c?a g? ( nhân công & v?t t?) ( Thái Thành Nhân); 44.759.520.000 ; -   ; -   ; -   ; -   ;; -   ; 44.759.520.000 ; 44.759.520.000 ; 20.288.971.798 ; -   ; -   ; -   ; -   ; -   ; -   ; 20.288.971.798 ; 20.288.971.798 ; -   ; -   ; 65.048.491.798 ; 65.048.491.798 ;
2; Thi công Nhôm kính ( nhân công & v?t t?) ; 53.586.347.731 ; -   ; 2.500.000.000 ; -   ; -   ; -   ; -   ; 53.586.347.731 ; 51.086.347.731 ; 24.395.478.918 ; -   ; -   ; -   ; -   ; -   ; -   ; 24.395.478.918 ; 24.395.478.918 ; -   ; -   ; 77.981.826.649 ; 75.481.826.649 ;
2.1; Quang thu?n; 26.901.301.370 ; -   ; -   ; -   ; -   ; -   ; -   ; 26.901.301.370 ; 26.901.301.370 ; 24.395.478.918 ; -   ; -   ; -   ; -   ; -   ; -   ; 24.395.478.918 ; 24.395.478.918 ; -   ; -   ; 51.296.780.288 ; 51.296.780.288 ;
2.2;??i nam; 26.685.046.361 ; -   ; 2.500.000.000 ; -   ; -   ; -   ; -   ; 26.685.046.361 ; 24.185.046.361 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 26.685.046.361 ; 24.185.046.361 ;
3;Cung c?p & L?p ??t Thang máy ?ã ký D3+ D4 ( nhân công & thi?t b?) (UK TECH) hoàn t?m ?ng ; 29.462.912.434 ; 10.502.982.673 ; 2.946.291.243 ; 10.502.982.673 ; 3.682.864.055 ; 6.820.118.618 ; -   ; 18.959.929.761 ; 22.833.757.136 ; 13.537.087.566 ; -   ; 1.353.708.757 ; -   ; -   ; -   ; -   ; 13.537.087.566 ; 12.183.378.809 ; 6.820.118.618 ; -   ; 32.497.017.327 ; 35.017.135.945 ;
3.1; + Tháp A - HLP ( One Truss) ; 14.731.456.217 ; 10.502.982.673 ; 1.473.145.622 ; 10.502.982.673 ; 3.682.864.055 ; 6.820.118.618 ; -   ; 4.228.473.544 ; 9.575.446.541 ; 13.537.087.566 ; -   ; 1.353.708.757 ; -   ; -   ; -   ; -   ; 13.537.087.566 ; 12.183.378.809 ; 6.820.118.618 ; -   ; 17.765.561.110 ; 21.758.825.350 ;
